form,root,pos,modification,,,,,,,,,
BuYjApayitvA,Buj#2,gerund,caus,,,BuYjApayitvA,Buj#2,,,,,gerund
BUtvA,BU#1,gerund,,,,BUtvA,BU#1,,,,,gerund
BUzayitvA,BUz,gerund,caus,,,BUzayitvA,BUz,,,,,gerund
BUzitvA,BUz,gerund,,,,BUzitvA,BUz,,,,,gerund
BftvA,Bf,gerund,,,,BftvA,Bf,,,,,gerund
BfSAyitvA,BfSa,gerund,,,,BfSAyitvA,BfSa,,,,,gerund
BfzwvA,Bfjj,gerund,,,,BfzwvA,Bfjj,,,,,gerund
BedayitvA,Bid#1,gerund,caus,,,BedayitvA,Bid#1,,,,,gerund
BojayitvA,Buj#2,gerund,caus,,,BojayitvA,Buj#2,,,,,gerund
BraMSayitvA,BraMS,gerund,caus,,,BraMSayitvA,BraMS,,,,,gerund
BraMSitvA,BraMS,gerund,,,,BraMSitvA,BraMS,,,,,gerund
BramitvA,Bram,gerund,,,,BramitvA,Bram,,,,,gerund
BrazwvA,BraMS,gerund,,,,BrazwvA,BraMS,,,,,gerund
BrAjayitvA,BrAj,gerund,caus,,,BrAjayitvA,BrAj,,,,,gerund
BrAjitvA,BrAj,gerund,,,,BrAjitvA,BrAj,,,,,gerund
BrAntvA,Bram,gerund,,,,BrAntvA,Bram,,,,,gerund
BrAmayitvA,Bram,gerund,caus,,,BrAmayitvA,Bram,,,,,gerund
maMhayitvA,maMh,gerund,caus,,,maMhayitvA,maMh,,,,,gerund
maktvA,majj,gerund,,,,maktvA,majj,,,,,gerund
majjayitvA,majj,gerund,caus,,,majjayitvA,majj,,,,,gerund
maRqayitvA,maRq,gerund,caus,,,maRqayitvA,maRq,,,,,gerund
maRqitvA,maRq,gerund,,,,maRqitvA,maRq,,,,,gerund
mattvA,mad#1,gerund,,,,mattvA,mad#1,,,,,gerund
matvA,man,gerund,,,,matvA,man,,,,,gerund
maTitvA,manT,gerund,,,,maTitvA,manT,,,,,gerund
madayitvA,mad#1,gerund,caus,,,madayitvA,mad#1,,,,,gerund
maDusyitvA,maDu,gerund,,,,maDusyitvA,maDu,,,,,gerund
maDvasyitvA,maDu,gerund,,,,maDvasyitvA,maDu,,,,,gerund
mantUyitvA,mantu,gerund,,,,mantUyitvA,mantu,,,,,gerund
mantrayitvA,mantra,gerund,,,,mantrayitvA,mantra,,,,,gerund
mandayitvA,mand#1,gerund,caus,,,mandayitvA,mand#1,,,,,gerund
manditvA,mand#1,gerund,,,,manditvA,mand#1,,,,,gerund
mardayitvA,mfd#1,gerund,caus,,,mardayitvA,mfd#1,,,,,gerund
marDitvA,mfD,gerund,,,,marDitvA,mfD,,,,,gerund
marSayitvA,mfS,gerund,caus,,,marSayitvA,mfS,,,,,gerund
marzayitvA,mfz,gerund,caus,,,marzayitvA,mfz,,,,,gerund
malinayitvA,malina,gerund,,,,malinayitvA,malina,,,,,gerund
mahayitvA,mah,gerund,caus,,,mahayitvA,mah,,,,,gerund
mahitvA,mah,gerund,,,,mahitvA,mah,,,,,gerund
mahitvA,maMh,gerund,,,,mahitvA,maMh,,,,,gerund
mahIyitvA,mahI#2,gerund,,,,mahIyitvA,mahI#2,,,,,gerund
mAMsIyitvA,mAMsa,gerund,,,,mAMsIyitvA,mAMsa,,,,,gerund
mAtvA,man,gerund,,,,mAtvA,man,,,,,gerund
mAdayitvA,mad#1,gerund,caus,,,mAdayitvA,mad#1,,,,,gerund
mAnayitvA,man,gerund,caus,,,mAnayitvA,man,,,,,gerund
mApayitvA,mA#1,gerund,caus,,,mApayitvA,mA#1,,,,,gerund
mArayitvA,mf,gerund,caus,,,mArayitvA,mf,,,,,gerund
mArgayitvA,mArg,gerund,,,,mArgayitvA,mArg,,,,,gerund
mArjayitvA,mfj,gerund,caus,,,mArjayitvA,mfj,,,,,gerund
mArjitvA,mfj,gerund,,,,mArjitvA,mfj,,,,,gerund
mAlayitvA,mAlA,gerund,,,,mAlayitvA,mAlA,,,,,gerund
mAlyaguRAyitvA,mAlyaguRa,gerund,,,,mAlyaguRAyitvA,mAlyaguRa,,,,,gerund
mitTvA,miT,gerund,,,,mitTvA,miT,,,,,gerund
mitvA,mi,gerund,,,,mitvA,mi,,,,,gerund
mitvA,mA#1,gerund,,,,mitvA,mA#1,,,,,gerund
militvA,mil,gerund,,,,militvA,mil,,,,,gerund
miSrayitvA,miSra,gerund,,,,miSrayitvA,miSra,,,,,gerund
mizitvA,miz,gerund,,,,mizitvA,miz,,,,,gerund
mizwvA,miz,gerund,,,,mizwvA,miz,,,,,gerund
mIQvA,mih,gerund,,,,mIQvA,mih,,,,,gerund
mItvA,mI,gerund,,,,mItvA,mI,,,,,gerund
mItvA,mA#3,gerund,,,,mItvA,mA#3,,,,,gerund
mItvA,mA#4,gerund,,,,mItvA,mA#4,,,,,gerund
mImAMsitvA,man,gerund,desid,,,mImAMsitvA,man,,,,,gerund
mIlayitvA,mIl,gerund,caus,,,mIlayitvA,mIl,,,,,gerund
mIlitvA,mIl,gerund,,,,mIlitvA,mIl,,,,,gerund
mukulayitvA,mukula,gerund,,,,mukulayitvA,mukula,,,,,gerund
muktvA,muc#1,gerund,,,,muktvA,muc#1,,,,,gerund
muKarayitvA,muKara,gerund,,,,muKarayitvA,muKara,,,,,gerund
mugDvA,muh,gerund,,,,mugDvA,muh,,,,,gerund
muRqayitvA,muRqa,gerund,,,,muRqayitvA,muRqa,,,,,gerund
muditvA,mud#1,gerund,,,,muditvA,mud#1,,,,,gerund
mudrayitvA,mudrA,gerund,,,,mudrayitvA,mudrA,,,,,gerund
mumukzitvA,muc#1,gerund,desid,,,mumukzitvA,muc#1,,,,,gerund
mumUrzitvA,mf,gerund,desid,,,mumUrzitvA,mf,,,,,gerund
muzitvA,muz#1,gerund,,,,muzitvA,muz#1,,,,,gerund
muhitvA,muh,gerund,,,,muhitvA,muh,,,,,gerund
mUQvA,muh,gerund,,,,mUQvA,muh,,,,,gerund
mUtrayitvA,mUtra,gerund,,,,mUtrayitvA,mUtra,,,,,gerund
mUrcCitvA,mUrcC,gerund,,,,mUrcCitvA,mUrcC,,,,,gerund
mUrCayitvA,mUrC,gerund,caus,,,mUrCayitvA,mUrC,,,,,gerund
mUrCitvA,mUrC,gerund,,,,mUrCitvA,mUrC,,,,,gerund
mfgayitvA,mfga,gerund,,,,mfgayitvA,mfga,,,,,gerund
mfwwvA,mfq,gerund,,,,mfwwvA,mfq,,,,,gerund
mfqayitvA,mfq,gerund,,,,mfqayitvA,mfq,,,,,gerund
mfttvA,mfd#1,gerund,,,,mfttvA,mfd#1,,,,,gerund
mftvA,mf,gerund,,,,mftvA,mf,,,,,gerund
mfdDvA,mfD,gerund,,,,mfdDvA,mfD,,,,,gerund
mfzAyitvA,mfzA,gerund,,,,mfzAyitvA,mfzA,,,,,gerund
mfzwvA,mfz,gerund,,,,mfzwvA,mfz,,,,,gerund
mfzwvA,mfj,gerund,,,,mfzwvA,mfj,,,,,gerund
mfzwvA,mfS,gerund,,,,mfzwvA,mfS,,,,,gerund
meGAyitvA,meGa,gerund,,,,meGAyitvA,meGa,,,,,gerund
meDayitvA,meDA,gerund,,,,meDayitvA,meDA,,,,,gerund
melApayitvA,mil,gerund,caus,,,melApayitvA,mil,,,,,gerund
melitvA,mil,gerund,,,,melitvA,mil,,,,,gerund
mezitvA,miz,gerund,,,,mezitvA,miz,,,,,gerund
mokzayitvA,mokz,gerund,,,,mokzayitvA,mokz,,,,,gerund
mokzitvA,mokz,gerund,,,,mokzitvA,mokz,,,,,gerund
mocayitvA,muc#1,gerund,caus,,,mocayitvA,muc#1,,,,,gerund
modayitvA,mud#1,gerund,caus,,,modayitvA,mud#1,,,,,gerund
moditvA,mud#1,gerund,,,,moditvA,mud#1,,,,,gerund
mozitvA,muz#1,gerund,,,,mozitvA,muz#1,,,,,gerund
mohayitvA,muh,gerund,caus,,,mohayitvA,muh,,,,,gerund
mohitvA,muh,gerund,,,,mohitvA,muh,,,,,gerund
mnAtvA,mnA,gerund,,,,mnAtvA,mnA,,,,,gerund
mreqayitvA,mreq,gerund,caus,,,mreqayitvA,mreq,,,,,gerund
mlAtvA,mlA,gerund,,,,mlAtvA,mlA,,,,,gerund
mlizwvA,mlecC,gerund,,,,mlizwvA,mlecC,,,,,gerund
mlecCitvA,mlecC,gerund,,,,mlecCitvA,mlecC,,,,,gerund
mlezwvA,mlecC,gerund,,,,mlezwvA,mlecC,,,,,gerund
yatitvA,yat#1,gerund,,,,yatitvA,yat#1,,,,,gerund
yattvA,yat#1,gerund,,,,yattvA,yat#1,,,,,gerund
yatvA,yam,gerund,,,,yatvA,yam,,,,,gerund
yantrayitvA,yantra,gerund,,,,yantrayitvA,yantra,,,,,gerund
yabDvA,yaB,gerund,,,,yabDvA,yaB,,,,,gerund
yamayitvA,yam,gerund,caus,,,yamayitvA,yam,,,,,gerund
yasitvA,yas,gerund,,,,yasitvA,yas,,,,,gerund
yastvA,yas,gerund,,,,yastvA,yas,,,,,gerund
yAcitvA,yAc,gerund,,,,yAcitvA,yAc,,,,,gerund
yAjayitvA,yaj#1,gerund,caus,,,yAjayitvA,yaj#1,,,,,gerund
yAtayitvA,yat#1,gerund,caus,,,yAtayitvA,yat#1,,,,,gerund
yAtvA,yA#1,gerund,,,,yAtvA,yA#1,,,,,gerund
yApayitvA,yA#1,gerund,caus,,,yApayitvA,yA#1,,,,,gerund
yAvayitvA,yu#2,gerund,caus,,,yAvayitvA,yu#2,,,,,gerund
yiyakzitvA,yaj#1,gerund,desid,,,yiyakzitvA,yaj#1,,,,,gerund
yiyatizitvA,yat#1,gerund,desid,,,yiyatizitvA,yat#1,,,,,gerund
yiyAsitvA,yA#1,gerund,desid,,,yiyAsitvA,yA#1,,,,,gerund
yuktvA,yuj#1,gerund,,,,yuktvA,yuj#1,,,,,gerund
yutvA,yu#1,gerund,,,,yutvA,yu#1,,,,,gerund
yutvA,yu#2,gerund,,,,yutvA,yu#2,,,,,gerund
yudDvA,yuD#1,gerund,,,,yudDvA,yuD#1,,,,,gerund
yuyukzitvA,yuj#1,gerund,desid,,,yuyukzitvA,yuj#1,,,,,gerund
yuyutsitvA,yuD#1,gerund,desid,,,yuyutsitvA,yuD#1,,,,,gerund
yojayitvA,yuj#1,gerund,caus,,,yojayitvA,yuj#1,,,,,gerund
raMhitvA,raMh,gerund,,,,raMhitvA,raMh,,,,,gerund
raktvA,raYj,gerund,,,,raktvA,raYj,,,,,gerund
rakzayitvA,rakz,gerund,caus,,,rakzayitvA,rakz,,,,,gerund
rakzitvA,rakz,gerund,,,,rakzitvA,rakz,,,,,gerund
racayitvA,rac,gerund,,,,racayitvA,rac,,,,,gerund
raYjayitvA,raYj,gerund,caus,,,raYjayitvA,raYj,,,,,gerund
raYjitvA,raYj,gerund,,,,raYjitvA,raYj,,,,,gerund
raRitvA,raR,gerund,,,,raRitvA,raR,,,,,gerund
rattvA,rad,gerund,,,,rattvA,rad,,,,,gerund
ratvA,ram,gerund,,,,ratvA,ram,,,,,gerund
raTakAmyitvA,raTakAma,gerund,,,,raTakAmyitvA,raTakAma,,,,,gerund
radDvA,raD,gerund,,,,radDvA,raD,,,,,gerund
raDitvA,raD,gerund,,,,raDitvA,raD,,,,,gerund
ranDayitvA,raD,gerund,caus,,,ranDayitvA,raD,,,,,gerund
rabDvA,raB,gerund,,,,rabDvA,raB,,,,,gerund
ramayitvA,ram,gerund,caus,,,ramayitvA,ram,,,,,gerund
ramitvA,ram,gerund,,,,ramitvA,ram,,,,,gerund
rasayitvA,rasa,gerund,,,,rasayitvA,rasa,,,,,gerund
rahayitvA,rah,gerund,,,,rahayitvA,rah,,,,,gerund
rAjayitvA,rAj#1,gerund,caus,,,rAjayitvA,rAj#1,,,,,gerund
rAjitvA,rAj#1,gerund,,,,rAjitvA,rAj#1,,,,,gerund
rAjIyitvA,rAjan,gerund,,,,rAjIyitvA,rAjan,,,,,gerund
rAtvA,rA#1,gerund,,,,rAtvA,rA#1,,,,,gerund
rAdDvA,rAD,gerund,,,,rAdDvA,rAD,,,,,gerund
rADayitvA,rAD,gerund,caus,,,rADayitvA,rAD,,,,,gerund
rAmayitvA,ram,gerund,caus,,,rAmayitvA,ram,,,,,gerund
riktvA,ric,gerund,,,,riktvA,ric,,,,,gerund
ripsitvA,raB,gerund,desid,,,ripsitvA,raB,,,,,gerund
riraMsitvA,ram,gerund,desid,,,riraMsitvA,ram,,,,,gerund
rirakzizitvA,rakz,gerund,desid,,,rirakzizitvA,rakz,,,,,gerund
rirADayizitvA,rAD,gerund,desid,,,rirADayizitvA,rAD,,,,,gerund
rizitvA,riz,gerund,,,,rizitvA,riz,,,,,gerund
rizwvA,riz,gerund,,,,rizwvA,riz,,,,,gerund
rItvA,ri,gerund,,,,rItvA,ri,,,,,gerund
ruktvA,ruj#1,gerund,,,,ruktvA,ruj#1,,,,,gerund
rucitvA,ruc#1,gerund,,,,rucitvA,ruc#1,,,,,gerund
rutvA,ru,gerund,,,,rutvA,ru,,,,,gerund
ruditvA,rud#1,gerund,,,,ruditvA,rud#1,,,,,gerund
rudDvA,ruD#1,gerund,,,,rudDvA,ruD#1,,,,,gerund
rudDvA,ruD#2,gerund,,,,rudDvA,ruD#2,,,,,gerund
rurukzitvA,ruh#1,gerund,desid,,,rurukzitvA,ruh#1,,,,,gerund
ruzitvA,ruz#1,gerund,,,,ruzitvA,ruz#1,,,,,gerund
ruzwvA,ruz#1,gerund,,,,ruzwvA,ruz#1,,,,,gerund
rUkzayitvA,rUkza,gerund,,,,rUkzayitvA,rUkza,,,,,gerund
rUQvA,ruh#1,gerund,,,,rUQvA,ruh#1,,,,,gerund
rUpayitvA,rUp,gerund,,,,rUpayitvA,rUp,,,,,gerund
recayitvA,ric,gerund,caus,,,recayitvA,ric,,,,,gerund
rezayitvA,riz,gerund,caus,,,rezayitvA,riz,,,,,gerund
rezitvA,riz,gerund,,,,rezitvA,riz,,,,,gerund
rocayitvA,ruc#1,gerund,caus,,,rocayitvA,ruc#1,,,,,gerund
rocitvA,ruc#1,gerund,,,,rocitvA,ruc#1,,,,,gerund
rodayitvA,rud#1,gerund,caus,,,rodayitvA,rud#1,,,,,gerund
roditvA,rud#1,gerund,,,,roditvA,rud#1,,,,,gerund
roDayitvA,ruD#2,gerund,caus,,,roDayitvA,ruD#2,,,,,gerund
ropayitvA,ruh#1,gerund,caus,,,ropayitvA,ruh#1,,,,,gerund
romanTAyitvA,romanTa,gerund,,,,romanTAyitvA,romanTa,,,,,gerund
rozayitvA,ruz#1,gerund,caus,,,rozayitvA,ruz#1,,,,,gerund
rozitvA,ruz#1,gerund,,,,rozitvA,ruz#1,,,,,gerund
rohayitvA,ruh#1,gerund,caus,,,rohayitvA,ruh#1,,,,,gerund
laktvA,lag,gerund,,,,laktvA,lag,,,,,gerund
lakzayitvA,lakz,gerund,,,,lakzayitvA,lakz,,,,,gerund
lagitvA,lag,gerund,,,,lagitvA,lag,,,,,gerund
laGayitvA,laGa,gerund,,,,laGayitvA,laGa,,,,,gerund
laNgitvA,laNg,gerund,,,,laNgitvA,laNg,,,,,gerund
laNGayitvA,laNG,gerund,caus,,,laNGayitvA,laNG,,,,,gerund
laNGitvA,laNG,gerund,,,,laNGitvA,laNG,,,,,gerund
lajjayitvA,lajj,gerund,caus,,,lajjayitvA,lajj,,,,,gerund
lajjitvA,lajj,gerund,,,,lajjitvA,lajj,,,,,gerund
lapitvA,lap,gerund,,,,lapitvA,lap,,,,,gerund
labDvA,laB,gerund,,,,labDvA,laB,,,,,gerund
lambitvA,lamb,gerund,,,,lambitvA,lamb,,,,,gerund
lamBayitvA,laB,gerund,caus,,,lamBayitvA,laB,,,,,gerund
lalitvA,lal,gerund,,,,lalitvA,lal,,,,,gerund
lavaRasyitvA,lavaRa,gerund,,,,lavaRasyitvA,lavaRa,,,,,gerund
lazitvA,laz,gerund,,,,lazitvA,laz,,,,,gerund
lasitvA,las,gerund,,,,lasitvA,las,,,,,gerund
lAYCitvA,lAYC,gerund,,,,lAYCitvA,lAYC,,,,,gerund
lApayitvA,lap,gerund,caus,,,lApayitvA,lap,,,,,gerund
lAlayitvA,lal,gerund,caus,,,lAlayitvA,lal,,,,,gerund
lAlAyitvA,lAlA,gerund,,,,lAlAyitvA,lAlA,,,,,gerund
lAzayitvA,laz,gerund,caus,,,lAzayitvA,laz,,,,,gerund
lAsayitvA,las,gerund,caus,,,lAsayitvA,las,,,,,gerund
liKitvA,liK,gerund,,,,liKitvA,liK,,,,,gerund
liptvA,lip,gerund,,,,liptvA,lip,,,,,gerund
lipsitvA,laB,gerund,desid,,,lipsitvA,laB,,,,,gerund
lilazizitvA,laz,gerund,desid,,,lilazizitvA,laz,,,,,gerund
lizwvA,liS,gerund,,,,lizwvA,liS,,,,,gerund
lIQvA,lih#1,gerund,,,,lIQvA,lih#1,,,,,gerund
lItvA,lI,gerund,,,,lItvA,lI,,,,,gerund
luRWayitvA,luRW,gerund,caus,,,luRWayitvA,luRW,,,,,gerund
luRWitvA,luRW,gerund,,,,luRWitvA,luRW,,,,,gerund
luptvA,lup,gerund,,,,luptvA,lup,,,,,gerund
lubDvA,luB,gerund,,,,lubDvA,luB,,,,,gerund
luBitvA,luB,gerund,,,,luBitvA,luB,,,,,gerund
lulitvA,lul,gerund,,,,lulitvA,lul,,,,,gerund
lUtvA,lU#1,gerund,,,,lUtvA,lU#1,,,,,gerund
leKayitvA,liK,gerund,caus,,,leKayitvA,liK,,,,,gerund
leKitvA,liK,gerund,,,,leKitvA,liK,,,,,gerund
lepayitvA,lip,gerund,caus,,,lepayitvA,lip,,,,,gerund
lelAyitvA,lelA,gerund,,,,lelAyitvA,lelA,,,,,gerund
lokayitvA,lok,gerund,,,,lokayitvA,lok,,,,,gerund
lokitvA,lok,gerund,,,,lokitvA,lok,,,,,gerund
locitvA,loc,gerund,,,,locitvA,loc,,,,,gerund
loWayitvA,luRW,gerund,caus,,,loWayitvA,luRW,,,,,gerund
loBayitvA,luB,gerund,caus,,,loBayitvA,luB,,,,,gerund
loBitvA,luB,gerund,,,,loBitvA,luB,,,,,gerund
lolitvA,lul,gerund,,,,lolitvA,lul,,,,,gerund
lohitAyitvA,lohita,gerund,,,,lohitAyitvA,lohita,,,,,gerund
vakzayitvA,vakz,gerund,caus,,,vakzayitvA,vakz,,,,,gerund
vaNktvA,vaYc,gerund,,,,vaNktvA,vaYc,,,,,gerund
vaYcayitvA,vaYc,gerund,caus,,,vaYcayitvA,vaYc,,,,,gerund
vaYcitvA,vaYc,gerund,,,,vaYcitvA,vaYc,,,,,gerund
vatvA,van,gerund,,,,vatvA,van,,,,,gerund
vaditvA,vad,gerund,,,,vaditvA,vad,,,,,gerund
vanditvA,vand,gerund,,,,vanditvA,vand,,,,,gerund
varayitvA,vf#2,gerund,caus,,,varayitvA,vf#2,,,,,gerund
varitvA,vf#2,gerund,,,,varitvA,vf#2,,,,,gerund
varivasyitvA,varivas,gerund,,,,varivasyitvA,varivas,,,,,gerund
varItvA,vf#2,gerund,,,,varItvA,vf#2,,,,,gerund
varjayitvA,vfj,gerund,caus,,,varjayitvA,vfj,,,,,gerund
varRayitvA,varRa,gerund,,,,varRayitvA,varRa,,,,,gerund
vartayitvA,vft#1,gerund,caus,,,vartayitvA,vft#1,,,,,gerund
varDayitvA,vfD#1,gerund,caus,,,varDayitvA,vfD#1,,,,,gerund
varDitvA,vfD#1,gerund,,,,varDitvA,vfD#1,,,,,gerund
varzayitvA,vfz,gerund,caus,,,varzayitvA,vfz,,,,,gerund
varzitvA,vfz,gerund,,,,varzitvA,vfz,,,,,gerund
varhitvA,vfh,gerund,,,,varhitvA,vfh,,,,,gerund
valayitvA,val,gerund,caus,,,valayitvA,val,,,,,gerund
valitvA,val,gerund,,,,valitvA,val,,,,,gerund
valgitvA,valg,gerund,,,,valgitvA,valg,,,,,gerund
valgUyitvA,valgu,gerund,,,,valgUyitvA,valgu,,,,,gerund
vasitvA,vas#1,gerund,,,,vasitvA,vas#1,,,,,gerund
vasitvA,vas#2,gerund,,,,vasitvA,vas#2,,,,,gerund
vasitvA,vas#4,gerund,,,,vasitvA,vas#4,,,,,gerund
vAcayitvA,vac,gerund,caus,,,vAcayitvA,vac,,,,,gerund
vAcyitvA,vAc,gerund,,,,vAcyitvA,vAc,,,,,gerund
vAYCitvA,vAYC,gerund,,,,vAYCitvA,vAYC,,,,,gerund
vAtvA,vA#2,gerund,,,,vAtvA,vA#2,,,,,gerund
vAdayitvA,vad,gerund,caus,,,vAdayitvA,vad,,,,,gerund
vAntvA,vam,gerund,,,,vAntvA,vam,,,,,gerund
vApayitvA,vA#2,gerund,caus,,,vApayitvA,vA#2,,,,,gerund
vApayitvA,vap#2,gerund,caus,,,vApayitvA,vap#2,,,,,gerund
vArayitvA,vf#1,gerund,caus,,,vArayitvA,vf#1,,,,,gerund
vASitvA,vAS,gerund,,,,vASitvA,vAS,,,,,gerund
vAsayitvA,vAsa#3,gerund,,,,vAsayitvA,vAsa#3,,,,,gerund
vAsayitvA,vas#1,gerund,caus,,,vAsayitvA,vas#1,,,,,gerund
vAsayitvA,vas#2,gerund,caus,,,vAsayitvA,vas#2,,,,,gerund
vAhayitvA,vah#1,gerund,caus,,,vAhayitvA,vah#1,,,,,gerund
viktvA,vic,gerund,,,,viktvA,vic,,,,,gerund
viktvA,vij,gerund,,,,viktvA,vij,,,,,gerund
vittvA,vid#2,gerund,,,,vittvA,vid#2,,,,,gerund
viditvA,vid#1,gerund,,,,viditvA,vid#1,,,,,gerund
vidDvA,viD#1,gerund,,,,vidDvA,viD#1,,,,,gerund
vidDvA,vyaD,gerund,,,,vidDvA,vyaD,,,,,gerund
vipitvA,vip,gerund,,,,vipitvA,vip,,,,,gerund
vimanAyitvA,vimanA,gerund,,,,vimanAyitvA,vimanA,,,,,gerund
vivakzitvA,vac,gerund,desid,,,vivakzitvA,vac,,,,,gerund
vivatsitvA,vas#1,gerund,desid,,,vivatsitvA,vas#1,,,,,gerund
vivikzitvA,vic,gerund,desid,,,vivikzitvA,vic,,,,,gerund
vivikzitvA,viS#1,gerund,desid,,,vivikzitvA,viS#1,,,,,gerund
vivitsitvA,vid#1,gerund,desid,,,vivitsitvA,vid#1,,,,,gerund
vividizitvA,vid#1,gerund,desid,,,vividizitvA,vid#1,,,,,gerund
viSadayitvA,viSada,gerund,,,,viSadayitvA,viSada,,,,,gerund
vizAyitvA,vizA,gerund,,,,vizAyitvA,vizA,,,,,gerund
vizwvA,viz#1,gerund,,,,vizwvA,viz#1,,,,,gerund
vizwvA,viS#1,gerund,,,,vizwvA,viS#1,,,,,gerund
vIktvA,vIj,gerund,,,,vIktvA,vIj,,,,,gerund
vItvA,vI#1,gerund,,,,vItvA,vI#1,,,,,gerund
vItvA,vyA,gerund,,,,vItvA,vyA,,,,,gerund
vfktvA,vfj,gerund,,,,vfktvA,vfj,,,,,gerund
vfQvA,vfh,gerund,,,,vfQvA,vfh,,,,,gerund
vfttvA,vft#1,gerund,,,,vfttvA,vft#1,,,,,gerund
vftvA,vf#1,gerund,,,,vftvA,vf#1,,,,,gerund
vftvA,vf#2,gerund,,,,vftvA,vf#2,,,,,gerund
vfdDvA,vfD#1,gerund,,,,vfdDvA,vfD#1,,,,,gerund
vfzasyitvA,vfza,gerund,,,,vfzasyitvA,vfza,,,,,gerund
vfzIyitvA,vfza,gerund,,,,vfzIyitvA,vfza,,,,,gerund
vfzwvA,vfz,gerund,,,,vfzwvA,vfz,,,,,gerund
vfzwvA,vraSc,gerund,,,,vfzwvA,vraSc,,,,,gerund
vecayitvA,vic,gerund,caus,,,vecayitvA,vic,,,,,gerund
vejayitvA,vij,gerund,caus,,,vejayitvA,vij,,,,,gerund
vedayitvA,vid#1,gerund,caus,,,vedayitvA,vid#1,,,,,gerund
veditvA,vid#1,gerund,,,,veditvA,vid#1,,,,,gerund
venitvA,ven,gerund,,,,venitvA,ven,,,,,gerund
vepayitvA,vip,gerund,caus,,,vepayitvA,vip,,,,,gerund
vepitvA,vip,gerund,,,,vepitvA,vip,,,,,gerund
veSayitvA,viS#1,gerund,caus,,,veSayitvA,viS#1,,,,,gerund
vezayitvA,viz#1,gerund,caus,,,vezayitvA,viz#1,,,,,gerund
vezwayitvA,vezw,gerund,caus,,,vezwayitvA,vezw,,,,,gerund
vezwitvA,vezw,gerund,,,,vezwitvA,vezw,,,,,gerund
vErAyitvA,vEra,gerund,,,,vErAyitvA,vEra,,,,,gerund
vyaTayitvA,vyaT,gerund,caus,,,vyaTayitvA,vyaT,,,,,gerund
vyaTitvA,vyaT,gerund,,,,vyaTitvA,vyaT,,,,,gerund
vyADayitvA,vyaD,gerund,caus,,,vyADayitvA,vyaD,,,,,gerund
vrajitvA,vraj,gerund,,,,vrajitvA,vraj,,,,,gerund
vraRayitvA,vraRa,gerund,,,,vraRayitvA,vraRa,,,,,gerund
vraScayitvA,vraSc,gerund,caus,,,vraScayitvA,vraSc,,,,,gerund
vrIqitvA,vrIq,gerund,,,,vrIqitvA,vrIq,,,,,gerund
SaMsayitvA,SaMs,gerund,caus,,,SaMsayitvA,SaMs,,,,,gerund
SaMsitvA,SaMs,gerund,,,,SaMsitvA,SaMs,,,,,gerund
SaktvA,Sak,gerund,,,,SaktvA,Sak,,,,,gerund
SaNkitvA,SaNk,gerund,,,,SaNkitvA,SaNk,,,,,gerund
SattvA,Sad,gerund,,,,SattvA,Sad,,,,,gerund
SapitvA,Sap,gerund,,,,SapitvA,Sap,,,,,gerund
SaptvA,Sap,gerund,,,,SaptvA,Sap,,,,,gerund
SabdAyitvA,Sabda,gerund,,,,SabdAyitvA,Sabda,,,,,gerund
SamayitvA,Sam#1,gerund,caus,,,SamayitvA,Sam#1,,,,,gerund
SayitvA,SI#1,gerund,,,,SayitvA,SI#1,,,,,gerund
SalaBAyitvA,SalaBa,gerund,,,,SalaBAyitvA,SalaBa,,,,,gerund
SaltvA,Sal,gerund,,,,SaltvA,Sal,,,,,gerund
SasitvA,Sas,gerund,,,,SasitvA,Sas,,,,,gerund
SastvA,Sas,gerund,,,,SastvA,Sas,,,,,gerund
SastvA,SaMs,gerund,,,,SastvA,SaMs,,,,,gerund
SAtayitvA,Sad,gerund,caus,,,SAtayitvA,Sad,,,,,gerund
SAdayitvA,Sad,gerund,caus,,,SAdayitvA,Sad,,,,,gerund
SAntayitvA,SAnta,gerund,,,,SAntayitvA,SAnta,,,,,gerund
SApayitvA,Sap,gerund,caus,,,SApayitvA,Sap,,,,,gerund
SAyayitvA,SI#1,gerund,caus,,,SAyayitvA,SI#1,,,,,gerund
SAsitvA,SAs,gerund,,,,SAsitvA,SAs,,,,,gerund
SAstvA,SAs,gerund,,,,SAstvA,SAs,,,,,gerund
SikzayitvA,Sikz,gerund,caus,,,SikzayitvA,Sikz,,,,,gerund
SikzitvA,Sikz,gerund,,,,SikzitvA,Sikz,,,,,gerund
SikzitvA,Sak,gerund,desid,,,SikzitvA,Sak,,,,,gerund
SitvA,SA,gerund,,,,SitvA,SA,,,,,gerund
SiTilayitvA,SiTila,gerund,,,,SiTilayitvA,SiTila,,,,,gerund
SiTilAyitvA,SiTila,gerund,,,,SiTilAyitvA,SiTila,,,,,gerund
SiSayizitvA,SI#1,gerund,desid,,,SiSayizitvA,SI#1,,,,,gerund
SiSUyitvA,SiSu,gerund,,,,SiSUyitvA,SiSu,,,,,gerund
SizwvA,Siz,gerund,,,,SizwvA,Siz,,,,,gerund
SizwvA,SAs,gerund,,,,SizwvA,SAs,,,,,gerund
SIGrAyitvA,SIGra,gerund,,,,SIGrAyitvA,SIGra,,,,,gerund
SItvA,SyA,gerund,,,,SItvA,SyA,,,,,gerund
SIrtvA,SF,gerund,,,,SIrtvA,SF,,,,,gerund
